Name;Address;City
FRISUREN AM MARKT;MARKTPASSAGE 4;ETTLINGEN 
FRISEURE AN DER SPINNEREI;PFORZHEIMER STRASSE 120;ETTLINGEN 
ANDY BRÄDLE;BRÜNNÄCKERWEG 12;ETTLINGEN-SPESSART 
BRODBECK FILDERSTADT;HARTHÄUSER HAUPTSTRASSE 22;FILDERSTADT 
SALVATORE PICCIONE;SCHÄRFENGÄSSCHEN 4-6;FRANKFURT 
SALVATORE PICCIONE ONLINE;SCHÄRFENGÄSSCHEN 4-6;FRANKFURT 
PETER ZIEGLER;KAISERHOFSTRASSE 5;FRANKFURT 
PURE PASSION;BERGER STRASSE 12;FRANKFURT 
WACHS & WACHS & ZIANS GBR;LIEBIGSTR. 23-25;FRANKFURT 
HAIR SOLITAIRE;BERGER STRASSE 79;FRANKFURT 
HERR MEIER;EINGANG WURMBACHSTRASSE;FRANKFURT 
MONTAGSFREI;SCHILLERPASSAGE;FRANKFURT AM MAIN 
LA BELLA A;DRIJZILLEN 1;GEEL 
SALON XCLUSIVE;VISSERSZIJDE 12;GEERVLIET 
B&B HAIRDESIGN BV;KERKSTRAAT 45;GELDERMALSEN 
SALON GATH;BAHNHOFSTR. 70;GIESSEN 
SALON GATH;BAHNHOFSTR. 70;GIESSEN 
SALON SABINE DER WELLNESS FRISEUR;STEINBURGSTRASSE 10;GLÜCKSTADT 
LA LIGNE COIFFURES;MOLENSTRAAT 29;GORINCHEM 
CHICSAAL MICHAEL HÖPFNER;DÜSTERE STRASSE 27;GÖTTINGEN 
BEL HAIR;MARKTPLATZ 4;GRÜNWALD 
IHR FRISEUR NICOLETA;MÜNCHENER STRASSE 23A;HAAR 
ESTINEE;JANSSTRAAT 47;HAARLEM 
SOLO S HAIRSTUDIO;RAAMSINGEL 52;HAARLEM 
IDENTITY BY HENNY CORNET KAPPERS;GEDEMPTE OUDE GRACHT 97;HAARLEM 
ZEIT DER SINNE;FRIEDENSTRASSE 50;HALBERSTADT 
Dagmar Hanewinkel -HaarModen-;KOEPPSTRASSE 5;HALTERN 
KRÜGER FRISEUR;SPRINGETWIETE 5;HAMBURG 
SECRET GARDEN EXPERIENCE ONLINE;ST. ANSCHARPLATZ 10;HAMBURG 
SECRET GARDEN HAIR & BEAUTY;ST. ANSCHARPLATZ 10;HAMBURG 
LAB.HAMBURG AVEDA SALON & SHOP;FEHLANDTSTRASSE 41;HAMBURG 
HERRLINDNER Friseure;DAMMTORSTRASSE 27;HAMBURG 
BAAKEN 39;BAAKENALLEE 39;HAMBURG 
HEINRICHS SALON;BORNSTR 16;HAMBURG 
KLUGE MÄDCHEN;MAX-BRAUER-ALLEE 271;HAMBURG 
CLOSE UP HAIR KG;KLOSTERSTERN 10;HAMBURG 
FOLKER H. DER FRISEUR;HEGESTRASSE 8;HAMBURG 
A.B. SCHNITT;EPPENDORFER WEG 219;HAMBURG 
ELEMENTAR BABETTE FEHLOW;BEETHOVENSTRASSE 14;HAMBURG 
ROLF & BERND KLEINECKE E.K.;MÜHLENKAMP 1;HAMBURG 
FRISEUR ROLF & BERND;EPPENDORFER BAUM 28;HAMBURG 
Salon EXAKT;FRIEDENSALLEE 22;HAMBURG 
FÖNIX;SEMPERSTRASSE 8;HAMBURG 
Basic Line;MÜGGENKAMPSTRASSE 11;HAMBURG 
PURE HAIR;KROHNSKAMP 35A;HAMBURG 
LOCKE EPPENDORF;MARTINISTRASSE 11;HAMBURG 
OPENHAIR;WANDSBECKER MARKTSTRASSE 77;HAMBURG 
KLUGE MÄDCHEN ISERBROOK;SCHENEFELDER LANDSTRASSE 185;HAMBURG 
FARBWERK FRISEURE GMBH;BLANKENESER BAHNHOFSTRASSE 32;HAMBURG 
HAGEL SELECT;HEEGBARG 31;HAMBURG 
HAGEL SHOP ONLINE;HEEGBARG 31;HAMBURG 
Thomas Horn Haarschnitte;SACHSENTOR 73;HAMBURG 
Der Salon -GABY SCHEIDA-;POPPENBÜTTLER CHAUSSEE 11;HAMBURG 
SCHARTENBERG FRISEUR & WELLNESS;AM STOECKENER BACH 24;HANNOVER 
AYSE AKCAN HAIR;BÖDEKERSTRASSE 33;HANNOVER 
ZEN HAIR GMBH;FRIEDRICHSWALL 10;HANNOVER 
BERND JORDAN;BREITE STRASSE 6;HANNOVER 
LA COUP;ALTENBEEKENER DAMM 52;HANNOVER 
LA COUP;ALTENBEEKENER DAMM 52;HANNOVER 
BERND JORDAN;BREITE STRASSE 6;HANNOVER 
ZEN HAIR GMBH;FRIEDRICHSWALL 10;HANNOVER 
AYSE AKCAN HAIR;BÖDEKERSTRASSE 33;HANNOVER 
SCHARTENBERG FRISEUR & WELLNESS;AM STOECKENER BACH 24;HANNOVER 
SCARLET FRISEURE HARSEFELD;MARKTSTRASSE 18;HARSEFELD 
REINE KOPFSACHE;HANAUER LANDSTRASSE 22;HASSELROTH/NIEDERMITTLAU 
EVISIE;OUDE KURINGERBAAN 192;HASSELT 
HEADLINES;KONINGIN ASTRIDLAAN 49;HASSELT 
weiperfriseure;BESTENSEE-PLATZ 1;HAVIXBECK 
SALON D ANTOINETTE;ZANDVOORTSELAAN 62;HEEMSTEDE 
CLAUDIA RUDA FRISUREN;SCHRÖDERSTR. 42;HEIDELBERG 
AVEDA CONCEPT ANGELA;GROSSE MANTELGASSE 14;HEIDELBERG 
BY IMOGEN HEILOO;STATIONSWEG 78A;HEILOO 
RL ARTISTIC HAIRCARE;FRANS COECKELBERGSTRAAT 20;HEIST-OP-DEN-BERG 
SALON NATURE;SANDELINGENSTRAAT 46;HENDRIK-IDO-AMBACHT 
MUFIDE HAIR & ART;PASTORIESTRAAT 43;HENGELO 
Denroy Cadeau Hairdessing;GOEBENSTRASSE 3-7;HERFORD 
HARMONY OF HAIR;DE HUCHT 1;HERVELD 
DER FRISEUR;AM KRONENGARTEN 4;HILDEN 
ARNOLD S HAIRDESIGN;DOELENSTRAAT 47;HILVARENBEEK 
LOFT HUIDBELEVING;MOLENDIJK 37;HOEK 
ENGELS CREATIONS HAIR & BEAUTY HOOF;HOOFDWEG OOSTZIJDE 688;HOOFDDORP 
CARE CENTER;STATIONSWEG 10-15;HOORN 
POINTEN HAIRSTYLING;VOORBAAN 60;HUIZEN 
SALON PERSONA;HAVENSTRAAT 15;HUIZEN 
Pompadour Exclusive Salon & Spa;NEUGASSE 15;JENA 
DE BRUIN & CHO HAIR SPA LIFESYLE SA;MIDSTRAAT 18;JOURE 
ELEMENTS BEAUTY LOUNGE;GOETHESTRASSE 23;KARLSRUHE 
Haarkultur;PFINZTALSTRASSE 56;KARLSRUHE 
EDEN COSMETIC SPA;SOPHIENSTRASSE 37;KARLSRUHE 
FÖN HAIR & FRIENDS REINER;PUTLITZSTRASSE 26;KARLSRUHE 
10/ZWEI;KANTSTRASSE 10;KARLSRUHE 
PLANTS HAARE & KOSMETIK;SCHASSSTRASSE 17-19;KIEL 
HAIRDRESS BY ANTJE;JUNGFERNSTIEG 5;KIEL 
WELLNES HAIR;GUTENBERGSTRASSE 11;KIEL 
AUSZEIT KIRCHHEIM TECK;SOFIENSTRASSE 2;KIRCHHEIM/TECK 
SCHNITTLIEBE;HAUPTSRASSE 58;KÖLN 
Haarfilosophie;AACHENER STRASSE 1054;KÖLN 
POB GMBH;LUXEMBURGER STR. 230;KÖLN 
STUDIO PETER STEIMEL;APOSTELNKLOSTER 17-19;KÖLN 
RALF LUDES;PFEILSTRASSE 17;KÖLN 
GEBHARD & SCHWARZ;SUDERMANSTRASSE 10;KÖLN 
OPPERMANN UND WEBER FRISEURE KÖLN;GLADBACHER STRASSE 30;KÖLN 
STEGMANN FRISEURE E.K.;ALTSTADT 218;LANDSHUT 
LAS PERLAS LANDSMEER;NOORDEINDE 145;LANDSMEER 
HEALTH PLUS LAREN B.V.;NAARDERSTRAAT 13;LAREN 
PUREFESSION;MELKWEG 2B;LAREN 
SALON POSTMA;NIEUWESTAD 12;LEEUWARDEN 
HOUSE OF GRACES;BREESTRAAT 85;LEIDEN 
INGRIDS BEAUTY SALON;MORSSTRAAT 21;LEIDEN 
ALL INNX;MORSSTRAAT 21;LEIDEN 
Hair by Hentschel;NEUMARKT 2;LEIPZIG 
AYSEL & UGUR TARLAK;KARL-LIEBKNECHT-STRASSE 127;LEIPZIG 
DE BRUIN & CHO HAIR SPA LIFESYLE;VISSERSBUREN 80;LEMMER 
SCHNITTWUNDER;RATHAUSSTRASSE 10;LIPPSTADT 
W.A.C. HAIR & BEAUTYPOINT;STATIONSTRAAT 84;LONDERZEEL 
UTE GAERTNER LUCKENWALDE;GRÜNSTRASSE 6;LUCKENWALDE 
COOPERATIE ARTA;STOKSTRAAT 21;MAASTRICHT 
FRISÖR PAULS;FISCHERGASSE 3;MAINZ 
THERESA HUBER;SECKENHEIMERSTRASSE 23;MANNHEIM 
JANA MARTIN GMBH;HAUPTSTRASSE 58;MARKKLEEBERG 
MONA BVBA;KORENMARKT 49;MECHELEN 
CASAYA SPA;SINT-ELIZABETHSTRAAT 15;MELSELE 
MOLA GUBENA-MARTIN;SANKT-BARBARA-STRASSE 7;MERCHWEILER 
TM-DER SALON;FISCHERTOR 1;MINDEN 
TM-DER SALON;FISCHERTOR 1;MINDEN 
HAIRFORCE ONE LUXURY STYLING;STADHOUDERLAAN 83A;MONTFOORT 
VALERINA MAZREKAJ;VOLKARDSTRASSE 79B;MÜNCHEN 
CHRIS KATHNES FRISEURE;HERZOGSTRASSE 5A;MÜNCHEN 
THE ENGLISH HAIRCUTTERS;FRANZ-JOSEF-STRASSE 46;MÜNCHEN 
L&D STYLISTEN;SIEGESSTRASSE 13;MÜNCHEN 
PANO GOUNARIS HAIRDESIGN;AUGUSTENSTRASSE 119;MÜNCHEN 
ORPLID FRISEURE ONLINE;SCHELLINGSTRASSE 78;MÜNCHEN 
ORPLID FRISEURE KASAPOGLU;SCHELLINGSTRASSE 78;MÜNCHEN 
VERENA HUBER;BARER STRASSE 54;MÜNCHEN 
BARBERELLA;AUGUSTENSTRASSE 33;MÜNCHEN 
VERENA HUBER;MAUERKIRCHER STRASSE 40;MÜNCHEN 
PURE NATURAL;DACHAUER STRASSE 157;MÜNCHEN 
HUTTER MAYER;BRIENNER STRASSE 14;MÜNCHEN 
AURELIAS FRISEURE;HEIMERANSTRASSE 58;MÜNCHEN 
LUDWIG BECK AM RATHAUSECK MÜNCHEN;MARIENPLATZ 11;MÜNCHEN 
BREUNINGER GMBH & CO. MÜNCHEN;SENDLINGER STRASSE 3;MÜNCHEN 
SALON SAYURI TANI PERSONAL;PAPA-SCHMID-STRASSE 2;MÜNCHEN 
AVEDA STORE MÜNCHEN;SENDLINGER STRASSE 29;MÜNCHEN 
STEPHANIE HOLM;BREISACHER STRASSE 11;MÜNCHEN 
FABIEN K ESPACE BEAUTÉ E.K.;RUMFORDSTRASSE 3;MÜNCHEN 
PURO;ISARTORPLATZ 5;MÜNCHEN 
BARBERELLA;ISMANINGERSTRASSE 6;MÜNCHEN 
VERENA HUBER FRISEURE;SCHNECKENBURGER STRASSE 34;MÜNCHEN 
THE HEAD;CORNELIUSSTRASSE 32;MÜNCHEN 
FRISEUR VON SCHÖNBORN;PESTALLOZZISTRASSE 34;MÜNCHEN 
DISINI;WALTHERSTRASSE 1;MÜNCHEN 
BARBERELLA;FRAUNHOFERSTRASSE 26;MÜNCHEN 
ADEL SMAILI FRISEURE;ROSENHEIMER STRASSE 85;MÜNCHEN 
Don’t call it a Gambeck;HUMBOLDTSTRASSE 13;MÜNCHEN 
UNITED BEAUTY Ulrich & Rudolf;HÖRSTERSTRASSE 54;MÜNSTER 
BRIGITTE BRODBECK;BERNHAEUSER STRASSE 10;NEUHAUSEN 
HOCHSTEIN - FRISEUREN NEUHAUSEN;BLUMENSTRASSE 5;NEUHAUSEN 
SALON CIANNARELLI;HAUPTSTRASSE 64;NEU-ULM 
HAARMONIE;PARKSTRASSE 15;NIENBURG 
HAARMONIE;PARKSTRASSE 15;NIENBURG 
TRENZA BV;APPELWEG 94;NIEUWRODE 
MIGOROWITZ WELZIJN LOUNGE;LIMOSLAAN 18;NIJMEGEN 
DEGGER KAPPERS;MAARTEN KRUYTSTRAAT 22;NOORDWIJK 
MARTINA ICKING HAARMODE;HERIBURGSTRASSE 4;NOTTULN 
GIUSI CALABRESE;TUCHERSTRASSE 5;NÜRNBERG 
Haarkunst Nürnberg;IRRERSTRASSE 17;NÜRNBERG 
BREUNINGER GMBH & CO. NÜRNBERG;KAROLINENSTR. 32-36;NÜRNBERG 
WÖHRL NÜRNBERG;LUDWIGSPLATZ 12-24;NÜRNBERG 
HAARGENAU BEI ERICH PUNKO;UHLANDSTRASSE 18;NÜRNBERG 
FRISIERUNG SIMON CARL;PAUMGARTNERSTRASSE 15;NÜRNBERG 
CARE 4 HAIR NÜRNBERG;MORITZBERGSTRASSE 43;NÜRNBERG 
FINGERS FRISEURE;BACHSTRASSE 10;OBERASBACH 
MOMENTS FOR HAIR;DE KEMPENAERSTRAAT 113;OEGSTGEEST 
BLICKFANG CHRISTINA MARPE;ESSELER STRASSE 2;OER-ERKENSCHWICK 
SION STYLING;ARENDSPLEIN 5;OOSTERHOUT 
STUDIO PUUR;DORPSPLAATS 5;OOSTMALLE 
purehair;HASESTRASSE 44;OSNABRÜCK 
PUREHAIR;HASESTRASSE 44;OSNABRÜCK 
EXP HAIR OUD-TURNHOUT;STEENWEG OP TURNHOUT 68;OUD-TURNHOUT 
ROGER & STORM;BLOEMENDAALSEWEG 236;OVERVEEN 
EXP HAIR PELT;HOUTMOLENSTRAAT 26;PELT 
KOPFKINO;INGOLSTÄDTER STRASSE 14;PFAFFENHOFEN 
BARBERS;BISSINGERSTRASSE 6;PFORZHEIM 
MAXI FRISUREN DESIGN;SCHLOSS STRASSE 28;PIRMASENS 
HAIRLICH NATÜRLICH PREUSS. OLDENBUR;BREMER STRASSE 4;PREUSSISCH OLDENDORF 
MUNAYQI;RIVIERENLAAN 85;PURMEREND 
LOGO HAIR & BODY;GREUTSTEINSTR. 18;RAPPACH-BRETZFELD 
LOGO HAIR & BODY;GREUTSTEINSTR. 18;RAPPACH-BRETZFELD 
GANZ FÜR HAARE;AM GRÜN 2;RASTATT 
Senseason Friseure;UNTERE BACH GASSE 1;REGENSBURG 
REVESZ & REVESZ GBR;NEUPFARRPLATZ 16;REGENSBURG 
Lana Pfund;FRANKENSTRASSE 7a;REGENSBURG 
HAIR BY WAADT;WALLERDORFER STRASSE 1;REICHERSTEIN 
EXP HAIR RETIE;PASSTRAAT 7;RETIE 
CAVATI;HERENSTRAAT 64;RHENEN 
STIJL HAARKREATIE;HEILIGE GEESTSTRAAT 15;ROERMOND 
ALEX B HAIRSTYLES FOR YOU;HAUPTSTRASSE 16C;RÖSRATH 
ALL SENSES;BARNSTORFERWEG 46-47;ROSTOCK 
SALON BOOMS;SCHUBERTLAAN 79;ROTTERDAM 
GIMSEL;MARINIERSWEG 9;ROTTERDAM 
DE BIJENKORF ROTTERDAM;COOLSINGEL 105;ROTTERDAM 
MESZ KAPPERS;WITTE DE WITHSTRAAT 84;ROTTERDAM 
CHRISTIAAN LIFESTYLE SALON & SPA;NIEUWE BINNENWEG 66-68;ROTTERDAM 
INFINITY;RUISBROEKDORP 65;RUISBROEK 
HAUPTMEISTER;JOHANNISSTRASSE 14;SAARBRÜCKEN 
SALON KRAUS;KAPPENSTRASSE 10;SAARBRÜCKEN 
SUSANNE HARTWIG;SAARGEMÜNDERSTRASSE 64;SAARBRÜCKEN 
MICHAEL KOEBRICH;HOHENZOLLERNSTR. 37;SAARBRÜCKEN 
EXP HAIR SCHILDE;TURNHOUTSEBAAN 234;SCHILDE 
FACE2FACE;PATER NUYENSLAAN 60;SCHILDE 
DER FRISEUR;KÖNIGSTRASSE 19;SCHWABACH 
LA PIEL HAIR AND BEAUTY;RITTERGASSE 5 B;SCHWEINFURT 
LA PIEL HAIR AND BEAUTY;RITTERGASSE 5 B;SCHWEINFURT 
SALON CLAUS WRAGE FRISEUR;MECKLENBURGSTRASSE 36;SCHWERIN 
SALON CLAAR S HERTOGENBOSCH;BOTERWEG 6;S-HERTOGENBOSCH 
ANNE BRINKMANN GBR;JULIUSSTRASSE 16;SIEGEN 
ANNE BRINKMANN GBR;JULIUSSTRASSE 16;SIEGEN 
SALON 7;DR. R. HAELTERMANLAAN 7b;SINAAI 
BVBA GRAZ;BRUGSTRAAT 65A;SINT-JOB-IN-'T-GOOR 
ART-ISTICA HAIRSTUDIO;REGENTIEPLEIN 18;SINT-NIKLAAS 
H LOUNGE;BERKENLAAN 1;SNEEK 
WE CARE LIFESTYLE SALON;KERKSTRAAT 7;SOEST 
T KAPPERSHUIS ARNOUD;DORPSSTRAAT 77 Bus c;STEKENE 
MIYA;HENDRIK DRAPSSTRAAT 46;STROMBEEK-BEVER 
KOSMETIK MERZ & BENZING;DOROTHEENSTRASSE 4;STUTTGART 
BREUNINGER GMBH & CO. STUTTGART;MARKTSTRASSE 1-3;STUTTGART 
SERGIO ALEKSOVSKI HAIR STUTTGART;ROTEBÜHLPLATZ 35;STUTTGART 
HAARZEIT DENNI JASAR;ROSENBERGSTRASSE 52;STUTTGART 
NI'NA;LISTSTRASSE 57;STUTTGART 
HAARGALERIE;ROTEBÜHLSTRASSE 109;STUTTGART 
HAARZEIT DENNI JASAR;ROSENBERGSTRASSE 52;STUTTGART 
KOSMETIK MERZ & BENZING;DOROTHEENSTRASSE 4;STUTTGART 
SERGIO ALEKSOVSKI HAIR STUTTGART;ROTEBÜHLPLATZ 35;STUTTGART 
BREUNINGER GMBH & CO. STUTTGART;MARKTSTRASSE 1-3;STUTTGART 
HAARGALERIE;ROTEBÜHLSTRASSE 109;STUTTGART 
NI'NA;LISTSTRASSE 57;STUTTGART 
Zalando SE;Berlin;Tamara-Danz-Str. 1
COIFFURE JOELLE;GEORGES VAN DAMMEPLEIN 1;TEMSE 
HAAR ZAAKJE BY ANOUK;RIJNAAKWERF 2;TERNEUZEN 
SALON HAARESZEIT;BAHNHOF 1;TETEROW 
BONNADEA;HAVENDIJK 2;TIEL 
DE BIJENKORF E-SHOP;ZEVENHEUVELENWEG 82;TILBURG 
DIFFERENT HAIR SKIN BODY;PIUSSTRAAT 80;TILBURG 
GUTE HAARE BEAUTYWELT;BAHNHOFSTRASSE 10a;TOSTEDT 
LIGNE NATURELLE;GROTE BOLLOSTRAAT 4 bus 0001;TREMELO 
FRISÖR POINT CONCEPT STORE;DIETRICHSTRASSE 48;TRIER 
CLAUDIAS FRISEURLADEN;RINGSTRASSE 43;UELZEN 
VAN HOUTEN KAPPERS;AMSTELPLEIN 5;UITHOORN 
OM Haircompany;FISCHERGASSE 3;ULM 
HAARKULTUR THOMAS ECKL;KREUZGASSE 22;USINGEN 
LAURENT SALON & SPA;JANSKERKHOF 11;UTRECHT 
SPIEGEL M SPIEGEL;ROZENDAALSELAAN 3;VELP 
RE-BELLE;LANGELEDE 28A;WACHTEBEKE 
Day Spa Friseure by René Klos;HAUPTSTRASSE 20;WIEHL 
HAARESZEIT CAROLINE STEINBACH;WILHELMSTRASSE 16;WIESBADEN 
FRISUREN GABRIELE ZUBER;HAUPTSTRASSE 132;WIESLOCH 
SCHÖNHEITSATELIER;NÜRTINGER STRASSE 40;WOLFSCHLUGEN 
