Name;Address;Postal Code;City;Country;ATV;Customer
Rituals Hasselt;Hoogstraat 4;3500;Hasselt;Belgium;27;13064
Rituals Gent Veldstraat;Veldstraat 13;9000;Gent;Belgium;28;23009
Rituals Diest;Botermarkt 36-38;3290;Diest;Belgium;26;42641
Rituals Kortrijk;Steenpoort 2;8500;Kortrijk;Belgium;15;35176
Rituals Genk;Rootenstraat 8 / Unit 42;3600;Genk;Belgium;17;39309
Rituals Halle Basiliekstraat;Basiliekstraat 89;1500;Halle;Belgium;21;46158
Rituals Kuurne;Ringlaan 34 (Unit 117);8520;Kortrijk;Belgium;23;16333
Rituals Knokke;Lippenslaan 325;8300;Knokke;Belgium;44;47837
Rituals Aalst;Nieuwstraat 18;9300;Aalst;Belgium;41;20044
Rituals Brugge Zuidzand;Zuidzandstraat 54;8000;Brugge;Belgium;38;15589
Rituals Antwerpen Korte Gasthuisstraat;Korte Gasthuisstraat 7;2000;Antwerpen;Belgium;35;33529
Rituals Brussel City 2; Nieuwstraat 123;1000;Brussel;Belgium;23;21228
Rituals Charleroi Ville deux;Grand Rue 143;6000;Charleroi;Belgium;19;21917
Rituals Brasschaat;Bredabaan 363;2930;Brasschaat;Belgium;45;43295
Rituals Dendermonde;Oude Vest 18;9200;Dendermonde;Belgium;18;45974
Rituals Brussel Westland;Shopping Westland Boulevard Sylvain Dupuis 433;1070;Anderlecht;Belgium;34;23703
DOUGLAS 1 BURGAS PLAZA;Burgas Plaza;8008;Burgas;Bulgaria;43;22432
BEAUTY | ZONE 10 GALLERIA BURGAS;Mall Galleria;8001;Burgas;Bulgaria;49;17300
Douglas 11 Panorama Pleven Mall;Ivan Mendilikov 1;5805;Pleven;Bulgaria;33;38847
DOUGLAS 5 PLOVDIV PLAZA; 3 dr. Georgi Stranski;4019;Plovdiv;Bulgaria;18;49057
BEAUTY | ZONE 6 MALL PLOVDIV; 8 Perushtitsa;4002;Plovdiv;Bulgaria;19;42556
Douglas 7 Mall Markovo Tepe;bul. Ruski 54;4000;Plovdiv;Bulgaria;29;11176
BEAUTY | ZONE 9 MALL ROUSSE; Bd. Lipnik nr. 121;7005;Rousse;Bulgaria;47;16465
Douglas 16 Sofia Centre;Vitosha 62;1463;Sofia;Bulgaria;34;23023
Beauty | Zone 5 Stara Zagora; 52 N. Petkov Blvd;6009;STARA ZAGORA;Bulgaria;27;23097
Douglas 15 Retail Park Arena;Perunika 26;9705;Shumen;Bulgaria;34;45183
Douglas Webshop BG;7 Iskarsko shose Blvd;1528;Sofia;Bulgaria;25;48611
DOUGLAS 6 PARADISE CENTER; 100 Cherni vrah blvd.;1407;Sofia;Bulgaria;23;48197
BEAUTY | ZONE 3 MALL OF SOFIA; 101 Al. Stamboliiski blvd.;1303;Sofia;Bulgaria;26;11278
BEAUTY | ZONE 11 SOFIA RING MALL; 214 Okolovrasten pat;1434;Sofia;Bulgaria;16;49476
Sephora The Mall;115 Tzarigradsko shose Blvd;001784;Sofia;Bulgaria;28;44191
DOUGLAS 3 THE MALL; 115 Tsarigradsko shosse blvd.;1784;Sofia;Bulgaria;42;21336
DOUGLAS 8 BULGARIA MALL; 69 Bulgaria blvd.;1404;Sofia;Bulgaria;39;23200
Sephora Serdika 2790;48 Stinyakovo Blvd;1505;Sofia;Bulgaria;24;28715
Sephora Paradise Mall;Cherni Vrah Boulevard 60;001407;Sofia;Bulgaria;28;27647
DOUGLAS 2 SERDIKA CENTER; 48 Sitnyakovo blvd.;1505;Sofia;Bulgaria;15;36879
DOUGLAS 4 GRAND MALL VARNA; 2 Andrei Saharov blvd.;9000;Varna;Bulgaria;19;43680
DOUGLAS 9 DELTA PLANET; 185 Slivnitsa blvd.;9009;Varna;Bulgaria;39;36305
Beauty | Zone 2 Sofia;2 Arsenalski Blvd.;1407;sofia;Bulgaria;42;49864
Douglas Dubrovnik P041 - Robna ku?a Mi;Nikole Tesle 2;20000;Dubrovnik;Croatia;50;26116
Douglas Ljubljana Supernova Rudnik P203;Jur?kova cesta 223;1000;Ljubljana;Croatia;37;10742
Douglas Citypark Ljubljana P202;Moskovska ulica 4;1000;Ljubljana;Croatia;23;34491
Douglas Osijek;Svilajska 31A;31000;Osijek;Croatia;33;38784
Pula Max City P113;Negrijeva ulica 5;52500;Pula;Croatia;27;24940
Douglas Rijeka P116;Trg 111. Hrvatske brigade broj 2;51000;Rijeka;Croatia;22;30757
Douglas Rijeka;Janka Poli?a Kamova 81A;51000;Rijeka;Croatia;47;47189
Douglas Ikea outlet;Alfreda Nobela 4;10631;Sesvetski Kraljevac;Croatia;46;18999
Douglas Merkator Konzum (Split);Matoševa 10;21210;Solin;Croatia;37;36668
Douglas Split P115;Ylica Kralja Tomislava 7;21000;Split;Croatia;37;35816
Douglas Split City Center one;City Center one / Vukovarska ul. 207;21000;Split;Croatia;49;18180
Douglas Mall of Split;Josipa Jovica 93;21000;Split;Croatia;43;40105
Douglas Varaždin P016;Franjeva?ki trg 6;42000;Varaždin;Croatia;30;29733
Douglas Zadar Supernova;Ulica Akcije Maslenica 1;23000;Zadar;Croatia;15;28894
P108 Douglas Parfumerije;Kreše Golika 3A;1000;Zagreb;Croatia;23;36209
City Center One east P114;Slavonska Avenija 11D;10000;Zagreb;Croatia;36;27993
Douglas Webshop P903;Kreše Golika 3a;10000;Zagreb;Croatia;20;13006
Douglas Zagreb Cvjetni;Trg Petra Preradovi?a 6;10000;Zagreb;Croatia;28;15873
Douglas Zagreb Arena;Vice Vukova 6;10000;Zagreb;Croatia;40;24890
Douglas Zagreb City Center;Jankomir 33;10000;Zagreb;Croatia;42;30903
Douglas Zagreb Superkonzum;Radni?ka cesta 49;10000;Zagreb;Croatia;18;25050
Douglas Zagreb Kaptol;Nova Ves 11;10000;Zagreb;Croatia;22;32995
Douglas Zagreb Main Square;Trg bana Josipa Jela?i?a 6;10000;Zagreb;Croatia;29;37557
Douglas Zagreb Jelacica;Trg bana Jela?i?a 1;10000;Zagreb;Croatia;36;44692
Douglas Zagreb Garden Mall;Ulica Rudolfa Kolaka 14;10000;Zagreb;Croatia;24;38281
Douglas Zagreb Lower Town;Trg bana Jela?i?a;10000;Zagreb;Croatia;21;43243
Douglas Sibenik Dalmare;Velimira Škorpika 23;22000;Šibenik;Croatia;20;14852
Rituals Willemstad Zuikertuin; Zuikertuintje weg z/n;;Willemstad;Curaçao;15;48669
Rituals Prague Galerie Harfa;?eskomoravská 2420/15a;190 00;Prague;Czech Republic;24;10602
Rituals Liberec Forum;Soukenné nám. 669/2a;46001;Liberec;Czech Republic;35;33935
Rituals Ostrava Karolína;Jantarová 3344/4;702 00;Ostrava;Czech Republic;33;46608
Rituals Ostrava Avion;Rudná 3114/114;700 30;Ostrava;Czech Republic;20;15974
Rituals Olomouc Santovka;Polská 1201/1;779 00;Olomouc;Czech Republic;21;44853
Rituals Zlín Zlaté Jablko;nám. Míru 174;760 01;Zlín;Czech Republic;46;12153
Rituals Ústí nad Labem Forum;Bílinská 3490;400 01;Ústí nad Labem-m?sto;Czech Republic;16;17861
Rituals Futurum Hradec Králové;Brn?nská 1825/23A;500 08;Hradec Králové;Czech Republic;26;18001
Rituals Plzen Plaza Mall;Rad?ická 2;301 00;Plze?;Czech Republic;38;47587
Rituals Prague Václavské;Václavské nám. 815/53;110 00;Prague;Czech Republic;27;38783
Rituals Plzen Olympia;Písecká 972/1;326 00;Plze?;Czech Republic;23;41991
Rituals Ceske Budejovice IGY Centrum;Pražská t?. 1247/24;370 04;?eské Bud?jovice;Czech Republic;50;26813
Rituals Brno Va?kovka;Ve Va?kovce 462/1;602 00;Brno-st?ed;Czech Republic;29;15267
Rituals Pardubice Atrium Palace Pardubice;Atrium Palace Pardubice;53002;Pardubice;Czech Republic;25;28177
Rituals Prague Palladium;nám?stí Republiky 1079/1a;110 00;Prague;Czech Republic;23;11786
Rituals Prague Atrium Flora;Vinohradska 2828/151;13000;Praha;Czech Republic;34;40570
Rituals Prague Nový Smíchov;Plze?ská 233/8;150 00;Praha;Czech Republic;16;10438
Rituals Prague Zlicin;?evnická  121/1;155 21;Praha;Czech Republic;45;25858
Rituals Prague Chodov; Roztylská 2321/19;148 00;Prague;Czech Republic;49;20606
Rituals Prague Arkady; Na Pankráci 1726/86;140 00;Praha;Czech Republic;37;36769
Rituals Brno Olympia; U dálnice 777;66442;Brno;Czech Republic;38;33103
Rituals Prague Letnany; Veselská 663;199 00;Praha;Czech Republic;28;25544
Rituals Prague Cerny Most;Chlumecká 765/6;198 00;Praha;Czech Republic;48;25839
Rituals Herning Centret;Merkurvej 1;7400;Herning;Denmark;37;47267
Rituals Esbjerg;Kongens gade 55;6700;Esbjerg;Denmark;44;29576
Rituals Copenhagen Fisketorvet;Havneholmen 5;1560;Copenhagen W;Denmark;17;10845
Rituals Vejle Søndergade;Søndergade 27;7100;Vejle;Denmark;40;44232
Rituals Roskilde Ro's Torv;Ro's Torv 1;4000;Roskilde;Denmark;49;22789
Rituals Amager Centret;Reberbanegade 3;2300;Copenhagen S;Denmark;26;33748
Rituals Copenhagen Field's;Arne Jacobssens Allé 12;2300;Copenhagen;Denmark;29;30287
Rituals Aalborg Storcenter;Hobrovej 452;9200;Aalborg;Denmark;32;27343
Rituals Frederiksberg Centret;Falkoner Allé 21;2000;Frederiksberg;Denmark;47;21110
Rituals Odense Rosengårdcentret;Ørbækvej 75;5220;Odense SØ;Denmark;31;16920
Rituals Vanløse Kronen;Vanløse Torv 1;2720;Vanløse;Denmark;23;46632
Rituals Odense Vestergade;Vestergade 61;5000;Odense C;Denmark;36;43622
Rituals Lyngby Storcenter;Lyngby Storcenter;2800;Kgs. Lyngby;Denmark;34;41014
Rituals Aarhus Bruuns Galleri;M.P. Bruuns Gade 25;8000;Aarhus C;Denmark;29;35613
Rituals Rødovre Centrum;Rødovre Centrum;2610;Rødovre;Denmark;45;27620
Rituals Kolding Storcenter;Skovvangen 42;6000;Kolding;Denmark;27;18284
Rituals Aalborg Boulevarden;Boulevarden 1;9000;Aalborg;Denmark;40;47634
Rituals Hillerød SlotsArkaderne;Slotsarkaderne 225;3400;Hillerød;Denmark;46;13755
Rituals Farum Bytorv;Farum Bytorv 73;3520;Farum;Denmark;45;28558
Rituals Copenhagen Airport;Lufthavnsboulevarden 6;2770;Copenhagen;Denmark;33;45158
Rituals Taastrup City 2;Cityringen 4 2630;2630;Taastrup;Denmark;37;16778
Rituals Herlev Bymidte Butikscenter;Herlev Torv 22;2730;Herlev;Denmark;18;28834
Rituals Randers Storcenter;Merkurvej 55;8960;Randers;Denmark;21;11551
Rituals Ballerup Centret;Ballerup-Centret 2;2750;Ballerup;Denmark;26;36249
Rituals Copenhagen Vimmelskaftet;Vimmelskaftet 41;1161;København;Denmark;44;16631
Rituals Horsens Søndergade;Søndergade 19;8700;Horsens;Denmark;33;43916
Rituals Greve Waves Shoppingcenter;Over Bølgen 2A;2670;Greve;Denmark;22;27204
Rituals Viborg Sct. Mathias Gade;Sct. Mathias Gade 19A;8800;Viborg;Denmark;49;42124
Rituals Aarhus Søndergade;Søndergade 4;8000;Aarhus C;Denmark;35;42193
Rituals Kolding Østergade;Østergade 26;6000;Kolding;Denmark;31;30568
Rituals Næstved Storcenter;Næstved Storcenter;4700;Næstved;Denmark;30;45600
Douglas Fama VST 306;Fama põik 10;20303;Narva;Estonia;38;16832
Douglas Parnu VST 308;Papiniidu 8;80010;Parnu;Estonia;22;20480
Stockmann Tallinn;Liivalaia str 53;10145;Tallinn;Estonia;46;44800
Douglas Ulemiste VST 307;Suur-Sõjamäe 4;11415;Tallinn;Estonia;26;38353
Douglas Solaris VST 305;Estonia pst 9;11314;Tallinn;Estonia;45;38766
Douglas Lasnamae VST 309;Mustakivi tee 13;13912;Tallinn;Estonia;21;34462
Kaubamaja Tallinn;Gonsiori 2;10143;Tallinn;Estonia;48;37703
Douglas Nautica VST 310;Ahtri 9;10151;Tallinn;Estonia;36;25280
Kaubamaja Tartu;Riia 1;51004;Tartu;Estonia;38;29159
Douglas Tartu Kvartal VST 304;Riia 2;51004;Tartu;Estonia;32;11678
Rituals Kuopio Matkus shopping centre;Matkuksentie 60;70800;Kuopio;Finland;19;38168
Rituals Raisio Mylly;Myllynkatu 1;21280;Raisio;Finland;16;29922
Rituals Oulu Ideapark;Ritaharjuntie 49;90540;Oulu;Finland;18;33802
Rituals Rovaniemi Revontuli;Koskikatu 27 B;96100;Rovaniemi;Finland;20;12180
Rituals Helsinki Mall of Tripla;Firdonkatu 2 B;00520;Helsinki;Finland;46;10251
Rituals Helsinki Itis;Itäkatu 1-5;00930;Helsinki;Finland;46;40552
Rituals Mariehamn Sittkoff Gallerian;Torggatan 13;22100;Mariehamn;Finland;23;10963
Rituals Helsinki Forum;Mannerheimintie 20;00100;Helsinki;Finland;40;33556
Rituals Helsinki Kamppi Shopping Centre;Urho Kekkosen katu 1;00100;Helsinki;Finland;27;25798
Rituals Vantaa Jumbo;Vantaanportinkatu 3;01510;Vantaa;Finland;50;29235
Rituals Tampere Ratina;Vuolteenkatu 1;33100;Tampere;Finland;45;41721
Rituals Lempäälä Ideapark;Ideaparkinkatu 4;37570;Lempäälä;Finland;33;14228
Rituals Espoo Sello Shopping Centre;Leppävaarankatu 3-9;02600;Espoo;Finland;36;18993
Rituals Tours Les Atlantes;Avenue Jacques Duclos;37700;Saint-Pierre-des-Corps;France;28;25129
Rituals Laval Carrefour;46 Avenue du Maréchal de Lattre de Tassigny;53000;Laval;France;44;28575
Rituals Le Havre Docks Vauban;70 quai Frissard;76600;Le Havre;France;33;17524
Rituals Thionville Geric;rue du Maillet;57127;Thionville;France;23;22294
Rituals Saint-Quentin Aushopping;Route d'Amiens - RN 29;02100;Saint-Quentin Le Fayet;France;42;37322
Rituals Valenciennes Place d'Armes;12 rue de la Halle;59300;Valenciennes;France;30;42951
Rituals Nantes Atlantis;Centre Commercial Régional Nantes Boulevard Salvador Allende;44800;Saint-Herblain;France;39;10909
Rituals Pau Quartier Libre;180 Boulevard de l'Europe;64230;Lescar;France;40;47279
Rituals Tarbes Le Méridien;Centre Commercial Le Méridien - Route de Pau;65420;Ibos;France;37;45284
Rituals Roncq Promenade de Flandre;Boulevard d'Halluin;59223;Roncq;France;16;46422
Rituals Mont-Saint-Martin Pôle Europe;1 Boulevard de l'Europe;54350;Mont-Saint-Martin;France;43;39995
Rituals Périgueux La Feuilleraie;Avenue de l'Automobile;24750;Trélissac;France;24;17680
Rituals Mont-de-Marsan Grand Moun;200 boulevard Oscar Niemeyer;40280;Saint-Pierre-du-Mont;France;49;23320
Rituals Brest Jean Jaurès;19 rue Jean Jaurès;29200;Brest;France;47;39329
Rituals Angers Espace Anjou;75 Avenue Montaigne;49000;Angers;France;26;49035
Rituals Nancy Saint-Jean;6 rue Saint-Jean;54000;Nancy;France;29;12102
Rituals Toulouse Gramont;2 Chemin de Gabardie;31200;Toulouse;France;27;43632
Rituals Saint-Nazaire Ruban Bleu;6 Rue François Marceau;44600;Saint-Nazaire;France;25;20930
Rituals Brest Phare de l'Europe;29 Route de Gouesnou;29200;Brest;France;29;23683
Rituals Angoulême Champ de Mars;4 Place du Champ de Mars;16000;Angoulême;France;43;49671
Rituals Aulnay-sous-Bois O'Parinor;Le Haut de Galy;93600;Aulnay-sous-Bois;France;15;47600
Rituals Limoges Clocher;47-51 rue du Clocher;87000;Limoges;France;23;38763
Rituals Quimper Kéréon;8 rue Kéréon;29000;Quimper;France;35;45885
Rituals Strasbourg Place des Halles;24 Place des Halles;67000;Strasbourg;France;30;20875
Rituals Perpignan Salanca;Route du Barcarès;66530;Claira;France;30;14839
Rituals Brive Toulzac;16-18 Rue Toulzac;19100;Brive-la-Gaillarde;France;15;32084
Rituals Marseille Prado;41 Boulevard Michelet;13008;Marseille;France;28;38489
Rituals Rennes Grand Quartier;Route Saint-Malo;35760;Saint-Grégoire;France;24;12319
Rituals Faches Aushopping;Route de Vendeville;59155;Faches-Thumesnil;France;31;20368
Rituals Saint-Omer Rives de l'Aa;2 avenue des Frais Fonds;62219;Longuenesse;France;23;23106
Rituals Caen Mondeville 2;Route de Paris;14120;Mondeville;France;44;20552
Rituals Grenoble Grand Place;55 Grand'Place;38100;Grenoble;France;38;38056
Rituals Antibes Via Marenda;Place des Martyrs de la Résistance;06600;Antibes;France;19;17062
Rituals Dijon Toison d'Or;Route de Langres - BP77864;21000;Dijon;France;49;32382
Rituals Paris La Défense CNIT;2 Place de la Défense;92092;Puteaux;France;40;15531
Rituals Le Mans Aushopping;ZAC du Moulin aux Moines;72650;La Chapelle-Saint-Aubin;France;35;16830
Rituals Roppenheim The Style Outlets;1 Route de l’Europe RD4;67480;Roppenheim;France;24;36743
Rituals Nîmes Cap Costières;400 Avenue Claude Baillet;30900;Nîmes;France;27;44555
Rituals Thiais Belle Epine;rue du Luxembourg;94320;Thiais;France;48;45839
Rituals Perpignan Porte d'Espagne;1 Avenue d'Espagne;66000;Perpignan;France;45;39452
Rituals Marseille Grand Littoral;11 avenue de Saint Antoine;13464;Marseille;France;48;41314
Rituals Lanester La Galerie Géant;78 rue Ambroise Croizat;56600;Lanester;France;16;33250
Rituals Moulins les Metz Waves;Centre commercial Waves Actisud;57160;Moulins-lès-Metz;France;43;38839
Rituals Le Mans Minimes;10 rue des Minimes;72000;Le Mans;France;15;20549
Rituals Paris Champs-Elysées;33 Avenue des Champs-Elysées;75008;Paris;France;36;32750
Rituals Rueil-Malmaison Vaillant Couturier;17 rue Paul Vaillant Couturier;92500;Rueil-Malmaison;France;40;24346
Rituals Orléans Cap Saran;2601 route nationale 20;45770;Saran;France;22;29171
Rituals Nantes Rezé Océane;10 rond-point de la Corbinerie;44400;Rezé;France;41;40728
Rituals Valence Victor Hugo;14 Avenue Victor Hugo;26000;Valence;France;41;16424
Rituals Crêches-sur-Saône Les Bouchardes;Route Nationale 6;71680;Crêches-sur-Saône;France;34;15020
Rituals Issy Coeur de Ville;9 Promenade cœur de ville;92130;Issy-Les-Moulineaux;France;32;20205
Rituals Noisy Arcades;234 Boulevard du Mont d'Est;93160;Noisy-le-Grand;France;33;45803
Rituals Cannes Antibes;42 rue d'Antibes;06400;Cannes;France;47;32420
Rituals Saint-Etienne Général Foy;10 rue Général Foy;42000;Saint-Etienne;France;37;10167
Rituals Romans Marques Avenue;60 avenue Gambetta;26100;Romans-sur-Isère;France;33;12209
Rituals Bordeaux Sainte-Catherine;81-83 rue Sainte-Catherine;33000;Bordeaux;France;43;39059
Rituals Bègles Rives Arcins;Centre commercial Rives d'Arcins;33324;Bègles Cedex;France;40;32964
Rituals Cergy Les 3 Fontaines;Rue de la Croix des Maheux;95003;Cergy;France;47;35939
Rituals Louvroil Val de Sambre;1 Départementale 121;59720;Louvroil;France;32;24507
Rituals Blois Aushopping Blois Vineuil;99 rue Pierre Gilles de Genne;41350;Vineuil;France;44;38314
Rituals Chartres Epicentre;1 Rue des Orvilles;28630;Barjouville;France;33;22428
Rituals La Baule Général de Gaulle;125 avenue du Général de Gaulle;44500;La Baule-Escoublac;France;15;48846
Rituals Brétigny Maison Neuve;1 Avenue de la Maison Neuve;91227;Brétigny-sur-Orge;France;37;32901
Rituals Nice Nicetoile;30 avenue Jean Médecin;06000;Nice;France;16;26738
Rituals Toulon La Valette L'Avenue 83;300 Avenue de l'Université;83160;La Valette-du-Var;France;18;12515
Rituals Annecy Carnot;22 rue Carnot;74000;Annecy;France;44;33533
Rituals Bourges Avaricum;8 avenue de Peterborough;18000;Bourges;France;19;49129
Rituals Calais Cité Europe;1001 Boulevard du Kent;62231;Coquelles;France;25;48307
Rituals Portet-sur-Garonne Grand Portet;110 Boulevard de l’Europe;31120;Portet-sur-Garonne;France;25;30182
Rituals Cormontreuil Cora Reims;Route de Louvois;51350;Cormontreuil;France;27;12058
Rituals Rennes Orléans;2 rue d'Orléans;35000;Rennes;France;34;39190
Rituals Saint-Paul-les-Dax;1141 Boulevard Saint Vincent de Paul;40990;SAINT PAUL LES DAX;France;38;16070
Rituals Fenouillet La Galerie Espaces;19 Rue des Usines;31150;Fenouillet;France;40;36785
Rituals Amiens Trois Cailloux;3 rue des Trois Cailloux;80000;Amiens;France;34;20099
